CORRECTED Puzzle Boundaries - Dataset Indices where new puzzles start
(Fixed offset issue for puzzle identifiers >= 368148)
================================================================================
Index      Base Puzzle Name     Count      Range
94425      f3b10344             1001       [94425-95425]
95426      9bebae7a             576        [95426-96001]
96002      2f0c5170             1001       [96002-97002]
97003      a096bf4d             1001       [97003-98003]
98004      48f8583b             1001       [98004-99004]
99005      0c786b71             1001       [99005-100005]
100006     27a77e38             1001       [100006-101006]
101007     642248e4             1001       [101007-102007]
102008     070dd51e             1001       [102008-103008]
103009     0e671a1a             1001       [103009-104009]
104010     58e15b12             1001       [104010-105010]
105011     e6de6e8f             576        [105011-105586]
105587     e5c44e8f             576        [105587-106162]
106163     551d5bf1             575        [106163-106737]
106738     f823c43c             1001       [106738-107738]
107739     c074846d             1001       [107739-108739]
108740     f5c89df1             1001       [108740-109740]
109741     c62e2108             1001       [109741-110741]
110742     25094a63             1001       [110742-111742]
111743     31adaf00             576        [111743-112318]
112319     bc4146bd             1001       [112319-113319]
113320     c92b942c             1001       [113320-114320]
114321     ba9d41b8             1001       [114321-115321]
115322     66f2d22f             1001       [115322-116322]
116323     4852f2fa             576        [116323-116898]
116899     0c9aba6e             1001       [116899-117899]
117900     e57337a4             1001       [117900-118900]
118901     12997ef3             1001       [118901-119901]
119902     72a961c9             1001       [119902-120902]
120903     e633a9e5             1001       [120903-121903]
121904     da515329             72         [121904-121975]
121976     6ad5bdfd             1001       [121976-122976]
122977     9f27f097             1001       [122977-123977]
123978     ccd554ac             1001       [123978-124978]
124979     5ffb2104             1001       [124979-125979]
125980     aab50785             1001       [125980-126980]
126981     73c3b0d8             576        [126981-127556]
127557     4ff4c9da             1001       [127557-128557]
128558     817e6c09             576        [128558-129133]
129134     96a8c0cd             1001       [129134-130134]
130135     aee291af             1001       [130135-131135]
131136     917bccba             1001       [131136-132136]
132137     ca8de6ea             1001       [132137-133137]
133138     17cae0c1             1001       [133138-134138]
134139     5a5a2103             1001       [134139-135139]
135140     bf89d739             576        [135140-135715]
135716     64a7c07e             72         [135716-135787]
135788     833dafe3             1001       [135788-136788]
136789     bbb1b8b6             1001       [136789-137789]
137790     22a4bbc2             1001       [137790-138790]
138791     4aab4007             1001       [138791-139791]
139792     69889d6e             576        [139792-140367]
140368     e872b94a             72         [140368-140439]
140440     0692e18c             1001       [140440-141440]
141441     dc2aa30b             576        [141441-142016]
142017     b7999b51             1001       [142017-143017]
143018     62ab2642             1001       [143018-144018]
144019     09c534e7             1001       [144019-145019]
145020     7e02026e             576        [145020-145595]
145596     456873bc             1001       [145596-146596]
146597     32e9702f             1001       [146597-147597]
147598     cfb2ce5a             1001       [147598-148598]
148599     fea12743             1001       [148599-149599]
149600     ed98d772             1001       [149600-150600]
150601     8b28cd80             1001       [150601-151601]
151602     bcb3040b             1001       [151602-152602]
152603     6df30ad6             1001       [152603-153603]
153604     e681b708             1001       [153604-154604]
154605     37d3e8b2             1001       [154605-155605]
155606     f0afb749             1001       [155606-156606]
156607     695367ec             1001       [156607-157607]
157608     60a26a3e             576        [157608-158183]
158184     963f59bc             1001       [158184-159184]
159185     3b4c2228             1001       [159185-160185]
160186     292dd178             1001       [160186-161186]
161187     50aad11f             1001       [161187-162187]
162188     3f23242b             1001       [162188-163188]
163189     5b6cbef5             1001       [163189-164189]
164190     d4c90558             1001       [164190-165190]
165191     40f6cd08             1001       [165191-166191]
166192     9b4c17c4             1001       [166192-167192]
167193     281123b4             1001       [167193-168193]
168194     12422b43             1001       [168194-169194]
169195     18419cfa             576        [169195-169770]
169771     5d2a5c43             1001       [169771-170771]
170772     50a16a69             1001       [170772-171772]
171773     782b5218             1001       [171773-172773]
172774     27f8ce4f             1001       [172774-173774]
173775     84db8fc4             1001       [173775-174775]
174776     d492a647             1001       [174776-175776]
175777     929ab4e9             1001       [175777-176777]
176778     d017b73f             1001       [176778-177778]
177779     81c0276b             1001       [177779-178779]
178780     516b51b7             1001       [178780-179780]
179781     604001fa             1001       [179781-180781]
180782     ea959feb             1001       [180782-181782]
181783     34b99a2b             1001       [181783-182783]
182784     de493100             1001       [182784-183784]
183785     e1baa8a4             1001       [183785-184785]
184786     df8cc377             1001       [184786-185786]
185787     e69241bd             1001       [185787-186787]
186788     dc2e9a9d             1001       [186788-187788]
187789     c7d4e6ad             1001       [187789-188789]
188790     79369cc6             1001       [188790-189790]
189791     8719f442             72         [189791-189862]
189863     bb52a14b             1001       [189863-190863]
190864     8dae5dfc             1001       [190864-191864]
191865     baf41dbf             576        [191865-192440]
192441     54db823b             576        [192441-193016]
193017     184a9768             1001       [193017-194017]
194018     0a1d4ef5             1001       [194018-195018]
195019     d4b1c2b1             1001       [195019-196019]
196020     79fb03f4             1001       [196020-197020]
197021     93b4f4b3             1001       [197021-198021]
198022     4acc7107             1001       [198022-199022]
199023     759f3fd3             576        [199023-199598]
199599     d56f2372             1001       [199599-200599]
200600     c658a4bd             1001       [200600-201600]
201601     4e469f39             576        [201601-202176]
202177     e9b4f6fc             1001       [202177-203177]
203178     b7f8a4d8             1001       [203178-204178]
204179     f45f5ca7             1001       [204179-205179]
205180     bd14c3bf             576        [205180-205755]
205756     e7dd8335             576        [205756-206331]
206332     696d4842             1001       [206332-207332]
207333     a8610ef7             1001       [207333-208333]
208334     58743b76             1001       [208334-209334]
209335     642d658d             1001       [209335-210335]
210336     84f2aca1             1001       [210336-211336]
211337     845d6e51             1001       [211337-212337]
212338     fafd9572             1001       [212338-213338]
213339     00dbd492             1001       [213339-214339]
214340     88207623             1001       [214340-215340]
215341     4cd1b7b2             1001       [215341-216341]
216342     99306f82             1001       [216342-217342]
217343     9b365c51             1001       [217343-218343]
218344     136b0064             1001       [218344-219344]
219345     505fff84             1001       [219345-220345]
220346     e760a62e             1001       [220346-221346]
221347     94133066             1001       [221347-222347]
222348     e7a25a18             1001       [222348-223348]
223349     f0df5ff0             1001       [223349-224349]
224350     e619ca6e             72         [224350-224421]
224422     f21745ec             1001       [224422-225422]
225423     5289ad53             1001       [225423-226423]
226424     2c737e39             1001       [226424-227424]
227425     d37a1ef5             574        [227425-227998]
227999     140c817e             1001       [227999-228999]
229000     3391f8c0             1001       [229000-230000]
230001     f8be4b64             1001       [230001-231001]
231002     47996f11             1001       [231002-232002]
232003     a406ac07             1001       [232003-233003]
233004     c48954c1             1001       [233004-234004]
234005     575b1a71             1001       [234005-235005]
235006     9def23fe             1001       [235006-236006]
236007     7953d61e             1001       [236007-237007]
237008     bf699163             1001       [237008-238008]
238009     1acc24af             1001       [238009-239009]
239010     e9ac8c9e             1001       [239010-240010]
240011     2753e76c             1001       [240011-241011]
241012     3490cc26             1001       [241012-242012]
242013     9caba7c3             1001       [242013-243013]
243014     7bb29440             1001       [243014-244014]
244015     67b4a34d             1001       [244015-245015]
245016     0a2355a6             1001       [245016-246016]
246017     17b80ad2             1001       [246017-247017]
247018     137f0df0             1001       [247018-248018]
248019     6f473927             576        [248019-248594]
248595     5b692c0f             1001       [248595-249595]
249596     d19f7514             1001       [249596-250596]
250597     b20f7c8b             1001       [250597-251597]
251598     9356391f             1001       [251598-252598]
252599     3ee1011a             1001       [252599-253599]
253600     1e81d6f9             1001       [253600-254600]
254601     9c1e755f             1001       [254601-255601]
255602     c64f1187             1001       [255602-256602]
256603     c8b7cc0f             1001       [256603-257603]
257604     73ccf9c2             1001       [257604-258604]
258605     19bb5feb             1001       [258605-259605]
259606     cb227835             576        [259606-260181]
260182     896d5239             1001       [260182-261182]
261183     a934301b             575        [261183-261757]
261758     da2b0fe3             1001       [261758-262758]
262759     05a7bcf2             1001       [262759-263759]
263760     aa300dc3             575        [263760-264334]
264335     e7639916             576        [264335-264910]
264911     42918530             1001       [264911-265911]
265912     94be5b80             1001       [265912-266912]
266913     e1d2900e             576        [266913-267488]
267489     8ee62060             1001       [267489-268489]
268490     7039b2d7             1001       [268490-269490]
269491     414297c0             1001       [269491-270491]
270492     90347967             1001       [270492-271492]
271493     2546ccf6             1001       [271493-272493]
272494     1c56ad9f             1001       [272494-273494]
273495     15663ba9             1001       [273495-274495]
274496     af24b4cc             1001       [274496-275496]
275497     8597cfd7             1001       [275497-276497]
276498     e74e1818             1001       [276498-277498]
277499     13713586             1001       [277499-278499]
278500     cd3c21df             1001       [278500-279500]
279501     97239e3d             1001       [279501-280501]
280502     ac2e8ecf             1001       [280502-281502]
281503     be03b35f             576        [281503-282078]
282079     692cd3b6             1001       [282079-283079]
283080     e9c9d9a1             1001       [283080-284080]
284081     59341089             1001       [284081-285081]
285082     256b0a75             1001       [285082-286082]
286083     5833af48             1001       [286083-287083]
287084     52fd389e             1001       [287084-288084]
288085     08573cc6             1001       [288085-289085]
289086     2697da3f             72         [289086-289157]
289158     c663677b             1001       [289158-290158]
290159     0bb8deee             1001       [290159-291159]
291160     66e6c45b             1001       [291160-292160]
292161     1990f7a8             72         [292161-292232]
292233     e99362f0             1001       [292233-293233]
293234     d47aa2ff             1001       [293234-294234]
294235     903d1b4a             1001       [294235-295235]
295236     b942fd60             1001       [295236-296236]
296237     e41c6fd3             1001       [296237-297237]
297238     9b2a60aa             1001       [297238-298238]
298239     8a371977             1001       [298239-299239]
299240     8e2edd66             1001       [299240-300240]
300241     c35c1b4c             1001       [300241-301241]
301242     e88171ec             1001       [301242-302242]
302243     a59b95c0             1001       [302243-303243]
303244     f9a67cb5             576        [303244-303819]
303820     e95e3d8e             1001       [303820-304820]
304821     c87289bb             576        [304821-305396]
305397     b0f4d537             1001       [305397-306397]
306398     85b81ff1             1001       [306398-307398]
307399     68b67ca3             1001       [307399-308399]
308400     1a6449f1             1001       [308400-309400]
309401     9110e3c5             1001       [309401-310401]
310402     7d1f7ee8             1001       [310402-311402]
311403     cad67732             1001       [311403-312403]
312404     ac0c5833             575        [312404-312978]
312979     45bbe264             1001       [312979-313979]
313980     2037f2c7             1001       [313980-314980]
314981     009d5c81             1001       [314981-315981]
315982     1d398264             1001       [315982-316982]
316983     31d5ba1a             1001       [316983-317983]
317984     891232d6             1001       [317984-318984]
318985     16b78196             1001       [318985-319985]
319986     ad7e01d0             1001       [319986-320986]
320987     3a301edc             1001       [320987-321987]
321988     e133d23d             1001       [321988-322988]
322989     1e97544e             1001       [322989-323989]
323990     e4075551             1001       [323990-324990]
324991     ae58858e             576        [324991-325566]
325567     9c56f360             576        [325567-326142]
326143     0b17323b             288        [326143-326430]
326431     cf133acc             1001       [326431-327431]
327432     358ba94e             1001       [327432-328432]
328433     b457fec5             1001       [328433-329433]
329434     6a11f6da             1001       [329434-330434]
330435     d5c634a2             1001       [330435-331435]
331436     fb791726             1001       [331436-332436]
332437     5783df64             1001       [332437-333437]
333438     c97c0139             576        [333438-334013]
334014     f4081712             1001       [334014-335014]
335015     d282b262             1001       [335015-336015]
336016     9ddd00f0             1001       [336016-337016]
337017     2072aba6             1001       [337017-338017]
338018     1da012fc             1001       [338018-339018]
339019     72207abc             1001       [339019-340019]
340020     7d18a6fb             1001       [340020-341020]
341021     fe9372f3             1001       [341021-342021]
342022     7c8af763             1001       [342022-343022]
343023     6ea4a07e             1001       [343023-344023]
344024     21f83797             576        [344024-344599]
344600     1d0a4b61             1001       [344600-345600]
345601     e345f17b             1001       [345601-346601]
346602     9a4bb226             1001       [346602-347602]
347603     a680ac02             1001       [347603-348603]
348604     103eff5b             1001       [348604-349604]
349605     ce039d91             576        [349605-350180]
350181     67c52801             1001       [350181-351181]
351182     b7cb93ac             1001       [351182-352182]
352183     7d419a02             1001       [352183-353183]
353184     c1990cce             576        [353184-353759]
353760     e21a174a             1001       [353760-354760]
354761     aa4ec2a5             1001       [354761-355761]
355762     ca8f78db             1001       [355762-356762]
356763     626c0bcc             1001       [356763-357763]
357764     55059096             576        [357764-358339]
358340     62b74c02             1001       [358340-359340]
359341     e78887d1             1001       [359341-360341]
360342     423a55dc             1001       [360342-361342]
361343     ea9794b1             1001       [361343-362343]
362344     351d6448             1001       [362344-363344]
363345     d94c3b52             1001       [363345-364345]
364346     8fbca751             576        [364346-364921]
364922     506d28a5             1001       [364922-365922]
365923     ff72ca3e             1001       [365923-366923]
366924     0f63c0b9             1001       [366924-367924]
367925     7c9b52a0             225        [367925-368149]


Starting indices (Python list format):
[0, 778, 1779, 2780, 3781, 4782, 5783, 5784, 6785, 6857, 7858, 8859, 9860, 10861, 11862, 12863, 13864, 14865, 15866, 16867, 17443, 18444, 19445, 20446, 21447, 22448, 23024, 24025, 25026, 26027, 27028, 27100, 28101, 28676, 29677, 30678, 31679, 32680, 33681, 34682, 35683, 36684, 37685, 38686, 39687, 40688, 41689, 42264, 43265, 44266, 45267, 46268, 46277, 47278, 48279, 49280, 50281, 50857, 51433, 52009, 52585, 53586, 54587, 55588, 56589, 57590, 58591, 59592, 60593, 61594, 62595, 63596, 63668, 64669, 65670, 66671, 67672, 68248, 69249, 70250, 71251, 72252, 73253, 74254, 75255, 76256, 77257, 78258, 79259, 79835, 80836, 81837, 82838, 83839, 84415, 85416, 86417, 87418, 88419, 89420, 90421, 91422, 92423, 93424, 94425, 95426, 96002, 97003, 98004, 99005, 100006, 101007, 102008, 103009, 104010, 105011, 105587, 106163, 106738, 107739, 108740, 109741, 110742, 111743, 112319, 113320, 114321, 115322, 116323, 116899, 117900, 118901, 119902, 120903, 121904, 121976, 122977, 123978, 124979, 125980, 126981, 127557, 128558, 129134, 130135, 131136, 132137, 133138, 134139, 135140, 135716, 135788, 136789, 137790, 138791, 139792, 140368, 140440, 141441, 142017, 143018, 144019, 145020, 145596, 146597, 147598, 148599, 149600, 150601, 151602, 152603, 153604, 154605, 155606, 156607, 157608, 158184, 159185, 160186, 161187, 162188, 163189, 164190, 165191, 166192, 167193, 168194, 169195, 169771, 170772, 171773, 172774, 173775, 174776, 175777, 176778, 177779, 178780, 179781, 180782, 181783, 182784, 183785, 184786, 185787, 186788, 187789, 188790, 189791, 189863, 190864, 191865, 192441, 193017, 194018, 195019, 196020, 197021, 198022, 199023, 199599, 200600, 201601, 202177, 203178, 204179, 205180, 205756, 206332, 207333, 208334, 209335, 210336, 211337, 212338, 213339, 214340, 215341, 216342, 217343, 218344, 219345, 220346, 221347, 222348, 223349, 224350, 224422, 225423, 226424, 227425, 227999, 229000, 230001, 231002, 232003, 233004, 234005, 235006, 236007, 237008, 238009, 239010, 240011, 241012, 242013, 243014, 244015, 245016, 246017, 247018, 248019, 248595, 249596, 250597, 251598, 252599, 253600, 254601, 255602, 256603, 257604, 258605, 259606, 260182, 261183, 261758, 262759, 263760, 264335, 264911, 265912, 266913, 267489, 268490, 269491, 270492, 271493, 272494, 273495, 274496, 275497, 276498, 277499, 278500, 279501, 280502, 281503, 282079, 283080, 284081, 285082, 286083, 287084, 288085, 289086, 289158, 290159, 291160, 292161, 292233, 293234, 294235, 295236, 296237, 297238, 298239, 299240, 300241, 301242, 302243, 303244, 303820, 304821, 305397, 306398, 307399, 308400, 309401, 310402, 311403, 312404, 312979, 313980, 314981, 315982, 316983, 317984, 318985, 319986, 320987, 321988, 322989, 323990, 324991, 325567, 326143, 326431, 327432, 328433, 329434, 330435, 331436, 332437, 333438, 334014, 335015, 336016, 337017, 338018, 339019, 340020, 341021, 342022, 343023, 344024, 344600, 345601, 346602, 347603, 348604, 349605, 350181, 351182, 352183, 353184, 353760, 354761, 355762, 356763, 357764, 358340, 359341, 360342, 361343, 362344, 363345, 364346, 364922, 365923, 366924, 367925]
